phrase,traduction,indice,prononciation,divers
qu'est-ce que c'est?,what is it?,1,,
qu'est-ce que vent dire?,what does it mean,1,,
comment ça va?,how are things?,1,,
ça roule,things are okay,1,,
ça bouge,things are okay,1,,
ça ne va pas,things aren't going well,1,,
moi aussi,me too,1,,
après,after,1,,
passer du temps,spend time,1,,
voici,here is,1,,
voilà,here is,1,,
encore une fois,one more time,1,,
vite,quickly,1,,
cet été,this summer,1,,
avoir faim,be hungry,1,фам,
le dimanche,on Sunday,1,,
je ne sais pas pêcher,я не умею рыбачить,1,,
où,куда? / где?,1,,
pendant la semaine,during the week,1,,
quel,which,1,,quelle/quels/quelles
qui est-ce sur la photo?,who is this in the photo?